ScenarioID,Algorithm,SourceState,Multiplier,Bus,P_EVCS_MW,Q_EVCS_MVAr
S1-BC,B&C,Both S1+S2,1,2,0.20530612244897958,0.041697673469387755
S1-BC,B&C,Both S1+S2,1,4,0.2279081632653061,0.04628814795918367
S1-BC,B&C,Both S1+S2,1,6,0.4907142857142857,0.09966407142857144
S1-BC,B&C,Both S1+S2,1,8,0.17387755102040814,0.03531453061224489
S1-BC,B&C,Both S1+S2,1,10,0.25295918367346937,0.051376010204081626
S1-BC,B&C,Both S1+S2,1,13,0.1660204081632653,0.03371874489795918
S1-BC,B&C,Both S1+S2,1,14,0.7390816326530613,0.15010747959183673
S1-BC,B&C,Both S1+S2,1,15,0.1871428571428571,0.03800871428571428
S1-HB,BIPSO-GR,Both S1+S2,1,2,0.8797448979591836,0.1786761887755102
S1-HB,BIPSO-GR,Both S1+S2,1,4,0.5280612244897959,0.10724923469387754
S1-HB,BIPSO-GR,Both S1+S2,1,6,1.6823979591836733,0.34169502551020403
S1-HB,BIPSO-GR,Both S1+S2,1,8,0,0
S1-HB,BIPSO-GR,Both S1+S2,1,10,1.7880102040816326,0.3631448724489796
S1-HB,BIPSO-GR,Both S1+S2,1,13,0.05403061224489796,0.010973617346938776
S1-HB,BIPSO-GR,Both S1+S2,1,14,0.6293367346938776,0.12781829081632654
S1-HB,BIPSO-GR,Both S1+S2,1,15,0,0
S1-HY,Hybrid,Both S1+S2,1,2,0.1829591836734694,0.03715901020408163
S1-HY,Hybrid,Both S1+S2,1,4,0.22594387755102038,0.04588920153061224
S1-HY,Hybrid,Both S1+S2,1,6,0.733622448979592,0.14899871938775514
S1-HY,Hybrid,Both S1+S2,1,8,0.1728954081632653,0.03511505739795918
S1-HY,Hybrid,Both S1+S2,1,10,0.25295918367346937,0.051376010204081626
S1-HY,Hybrid,Both S1+S2,1,13,0.15644132653061227,0.03177323341836735
S1-HY,Hybrid,Both S1+S2,1,14,0.3130484693877551,0.06358014413265306
S1-HY,Hybrid,Both S1+S2,1,15,0.1765816326530612,0.03586372959183673
S2-BC,B&C,S1 lost,1,2,0.20530612244897958,0.041697673469387755
S2-BC,B&C,S1 lost,1,4,0.2279081632653061,0.04628814795918367
S2-BC,B&C,S1 lost,1,6,0.4907142857142857,0.09966407142857144
S2-BC,B&C,S1 lost,1,8,0.17387755102040814,0.03531453061224489
S2-BC,B&C,S1 lost,1,10,0.25295918367346937,0.051376010204081626
S2-BC,B&C,S1 lost,1,13,0.1660204081632653,0.03371874489795918
S2-BC,B&C,S1 lost,1,14,0.7390816326530613,0.15010747959183673
S2-BC,B&C,S1 lost,1,15,0.1871428571428571,0.03800871428571428
S2-HB,BIPSO-GR,S1 lost,1,2,0.8797448979591836,0.1786761887755102
S2-HB,BIPSO-GR,S1 lost,1,4,0.5280612244897959,0.10724923469387754
S2-HB,BIPSO-GR,S1 lost,1,6,1.6823979591836733,0.34169502551020403
S2-HB,BIPSO-GR,S1 lost,1,8,0,0
S2-HB,BIPSO-GR,S1 lost,1,10,1.7880102040816326,0.3631448724489796
S2-HB,BIPSO-GR,S1 lost,1,13,0.05403061224489796,0.010973617346938776
S2-HB,BIPSO-GR,S1 lost,1,14,0.6293367346938776,0.12781829081632654
S2-HB,BIPSO-GR,S1 lost,1,15,0,0
S2-HY,Hybrid,S1 lost,1,2,0.1829591836734694,0.03715901020408163
S2-HY,Hybrid,S1 lost,1,4,0.22594387755102038,0.04588920153061224
S2-HY,Hybrid,S1 lost,1,6,0.733622448979592,0.14899871938775514
S2-HY,Hybrid,S1 lost,1,8,0.1728954081632653,0.03511505739795918
S2-HY,Hybrid,S1 lost,1,10,0.25295918367346937,0.051376010204081626
S2-HY,Hybrid,S1 lost,1,13,0.15644132653061227,0.03177323341836735
S2-HY,Hybrid,S1 lost,1,14,0.3130484693877551,0.06358014413265306
S2-HY,Hybrid,S1 lost,1,15,0.1765816326530612,0.03586372959183673
S3-BC,B&C,S2 lost,1,2,0.20530612244897958,0.041697673469387755
S3-BC,B&C,S2 lost,1,4,0.2279081632653061,0.04628814795918367
S3-BC,B&C,S2 lost,1,6,0.4907142857142857,0.09966407142857144
S3-BC,B&C,S2 lost,1,8,0.17387755102040814,0.03531453061224489
S3-BC,B&C,S2 lost,1,10,0.25295918367346937,0.051376010204081626
S3-BC,B&C,S2 lost,1,13,0.1660204081632653,0.03371874489795918
S3-BC,B&C,S2 lost,1,14,0.7390816326530613,0.15010747959183673
S3-BC,B&C,S2 lost,1,15,0.1871428571428571,0.03800871428571428
S3-HB,BIPSO-GR,S2 lost,1,2,0.8797448979591836,0.1786761887755102
S3-HB,BIPSO-GR,S2 lost,1,4,0.5280612244897959,0.10724923469387754
S3-HB,BIPSO-GR,S2 lost,1,6,1.6823979591836733,0.34169502551020403
S3-HB,BIPSO-GR,S2 lost,1,8,0,0
S3-HB,BIPSO-GR,S2 lost,1,10,1.7880102040816326,0.3631448724489796
S3-HB,BIPSO-GR,S2 lost,1,13,0.05403061224489796,0.010973617346938776
S3-HB,BIPSO-GR,S2 lost,1,14,0.6293367346938776,0.12781829081632654
S3-HB,BIPSO-GR,S2 lost,1,15,0,0
S3-HY,Hybrid,S2 lost,1,2,0.1829591836734694,0.03715901020408163
S3-HY,Hybrid,S2 lost,1,4,0.22594387755102038,0.04588920153061224
S3-HY,Hybrid,S2 lost,1,6,0.733622448979592,0.14899871938775514
S3-HY,Hybrid,S2 lost,1,8,0.1728954081632653,0.03511505739795918
S3-HY,Hybrid,S2 lost,1,10,0.25295918367346937,0.051376010204081626
S3-HY,Hybrid,S2 lost,1,13,0.15644132653061227,0.03177323341836735
S3-HY,Hybrid,S2 lost,1,14,0.3130484693877551,0.06358014413265306
S3-HY,Hybrid,S2 lost,1,15,0.1765816326530612,0.03586372959183673
S4-BC,B&C,Both S1+S2,1.2,2,0.2463673469387755,0.050037208163265304
S4-BC,B&C,Both S1+S2,1.2,4,0.2734897959183673,0.05554577755102041
S4-BC,B&C,Both S1+S2,1.2,6,0.5888571428571429,0.11959688571428571
S4-BC,B&C,Both S1+S2,1.2,8,0.20865306122448976,0.042377436734693866
S4-BC,B&C,Both S1+S2,1.2,10,0.30355102040816323,0.061651212244897946
S4-BC,B&C,Both S1+S2,1.2,13,0.19922448979591836,0.04046249387755101
S4-BC,B&C,Both S1+S2,1.2,14,0.8868979591836735,0.18012897551020407
S4-BC,B&C,Both S1+S2,1.2,15,0.22457142857142853,0.04561045714285713
S4-HB,BIPSO-GR,Both S1+S2,1.2,2,1.0556938775510203,0.21441142653061224
S4-HB,BIPSO-GR,Both S1+S2,1.2,4,0.633673469387755,0.12869908163265303
S4-HB,BIPSO-GR,Both S1+S2,1.2,6,2.018877551020408,0.4100340306122448
S4-HB,BIPSO-GR,Both S1+S2,1.2,8,0,0
S4-HB,BIPSO-GR,Both S1+S2,1.2,10,2.145612244897959,0.43577384693877547
S4-HB,BIPSO-GR,Both S1+S2,1.2,13,0.06483673469387755,0.013168340816326531
S4-HB,BIPSO-GR,Both S1+S2,1.2,14,0.7552040816326532,0.15338194897959184
S4-HB,BIPSO-GR,Both S1+S2,1.2,15,0,0
S4-HY,Hybrid,Both S1+S2,1.2,2,0.21955102040816327,0.04459081224489796
S4-HY,Hybrid,Both S1+S2,1.2,4,0.27113265306122447,0.055067041836734686
S4-HY,Hybrid,Both S1+S2,1.2,6,0.8803469387755103,0.17879846326530616
S4-HY,Hybrid,Both S1+S2,1.2,8,0.20747448979591834,0.04213806887755101
S4-HY,Hybrid,Both S1+S2,1.2,10,0.30355102040816323,0.061651212244897946
S4-HY,Hybrid,Both S1+S2,1.2,13,0.1877295918367347,0.03812788010204082
S4-HY,Hybrid,Both S1+S2,1.2,14,0.3756581632653061,0.07629617295918367
S4-HY,Hybrid,Both S1+S2,1.2,15,0.21189795918367343,0.04303647551020407
S5-BC,B&C,Both S1+S2,1.5,2,0.30795918367346936,0.06254651020408164
S5-BC,B&C,Both S1+S2,1.5,4,0.34186224489795913,0.0694322219387755
S5-BC,B&C,Both S1+S2,1.5,6,0.7360714285714286,0.14949610714285716
S5-BC,B&C,Both S1+S2,1.5,8,0.2608163265306122,0.052971795918367336
S5-BC,B&C,Both S1+S2,1.5,10,0.37943877551020405,0.07706401530612245
S5-BC,B&C,Both S1+S2,1.5,13,0.24903061224489795,0.050578117346938775
S5-BC,B&C,Both S1+S2,1.5,14,1.108622448979592,0.2251612193877551
S5-BC,B&C,Both S1+S2,1.5,15,0.2807142857142857,0.05701307142857141
S5-HB,BIPSO-GR,Both S1+S2,1.5,2,1.3196173469387755,0.2680142831632653
S5-HB,BIPSO-GR,Both S1+S2,1.5,4,0.7920918367346939,0.1608738520408163
S5-HB,BIPSO-GR,Both S1+S2,1.5,6,2.52359693877551,0.512542538265306
S5-HB,BIPSO-GR,Both S1+S2,1.5,8,0,0
S5-HB,BIPSO-GR,Both S1+S2,1.5,10,2.682015306122449,0.5447173086734693
S5-HB,BIPSO-GR,Both S1+S2,1.5,13,0.08104591836734694,0.016460426020408165
S5-HB,BIPSO-GR,Both S1+S2,1.5,14,0.9440051020408164,0.1917274362244898
S5-HB,BIPSO-GR,Both S1+S2,1.5,15,0,0
S5-HY,Hybrid,Both S1+S2,1.5,2,0.27443877551020407,0.05573851530612245
S5-HY,Hybrid,Both S1+S2,1.5,4,0.33891581632653056,0.06883380229591836
S5-HY,Hybrid,Both S1+S2,1.5,6,1.100433673469388,0.22349807908163272
S5-HY,Hybrid,Both S1+S2,1.5,8,0.2593431122448979,0.05267258609693877
S5-HY,Hybrid,Both S1+S2,1.5,10,0.37943877551020405,0.07706401530612245
S5-HY,Hybrid,Both S1+S2,1.5,13,0.2346619897959184,0.04765985012755103
S5-HY,Hybrid,Both S1+S2,1.5,14,0.46957270408163265,0.09537021619897959
S5-HY,Hybrid,Both S1+S2,1.5,15,0.26487244897959183,0.053795594387755094
