Scenario,Branch,B&C_Loading_percent,BIPSO-GR_Loading_percent,Hybrid_Loading_percent
S2,T13-SS2,118.6,157.3,116.2
S2,T6-T13,103.2,122.9,98.4
S2,T6-T14,66.8,89.5,66.4
S2,T14-T4,61.2,80.8,60.8
S2,T10-T4,46.4,66.1,46.1
S2,T3-T10,31.4,30.3,31.3
S2,T12-T6,25.2,22.2,20.8
S2,T11-T12,17.7,15.8,17.6
S2,T1-T3,16.9,15.8,16.8
S2,T5-T11,14.9,14.9,14.9
S2,T9-T10,11.9,25.8,11.9
S2,T7-T1,11.5,10.4,11.4
S2,T2-T9,9.1,24.7,9.1
S2,T8-T2,3.6,19.3,3.6
S2,SS1-T10,0.0,0.0,0.0
S3,T13-SS2,0.0,0.0,0.0
S3,T6-T13,15.3,34.3,17.8
S3,T6-T14,51.7,67.7,49.7
S3,T14-T4,57.3,76.4,55.3
S3,T10-T4,72.0,91.1,70.0
S3,T3-T10,31.4,30.3,31.3
S3,T12-T6,25.2,22.2,20.8
S3,T11-T12,17.7,15.8,17.6
S3,T1-T3,16.9,15.8,16.8
S3,T5-T11,14.9,14.9,14.9
S3,T9-T10,11.9,25.8,11.9
S3,T7-T1,11.5,10.4,11.4
S3,T2-T9,9.1,24.7,9.1
S3,T8-T2,3.6,19.3,3.6
S3,SS1-T10,118.5,157.2,116.2
