Algorithm,CS,Bus,Chargers_11kW,Chargers_60kW,Chargers_150kW,TotalChargers,InstalledCapacity_MW
B&C,CS1,14,10,14,6,30,1.85
B&C,CS2,15,10,7,0,17,0.53
B&C,CS3,4,15,8,0,23,0.645
B&C,CS4,2,20,6,0,26,0.58
B&C,CS5,8,12,6,0,18,0.492
B&C,CS6,13,10,6,0,16,0.47
B&C,CS7,10,16,9,0,25,0.716
B&C,CS8,6,12,21,0,33,1.392
BIPSO-GR,CS1,14,13,21,2,36,1.703
BIPSO-GR,CS2,15,0,0,0,0,0.0
BIPSO-GR,CS3,4,0,25,0,25,1.5
BIPSO-GR,CS4,2,25,37,0,62,2.495
BIPSO-GR,CS5,8,0,0,0,0,0.0
BIPSO-GR,CS6,13,3,2,0,5,0.153
BIPSO-GR,CS7,10,25,80,0,105,5.075
BIPSO-GR,CS8,6,25,75,0,100,4.775
Hybrid,CS1,14,7,4,3,14,0.767
Hybrid,CS2,15,10,7,0,17,0.53
Hybrid,CS3,4,15,8,0,23,0.645
Hybrid,CS4,2,17,6,0,23,0.547
Hybrid,CS5,8,12,6,0,18,0.492
Hybrid,CS6,13,10,6,0,16,0.47
Hybrid,CS7,10,16,9,0,25,0.716
Hybrid,CS8,6,12,33,0,45,2.112
