Scenario,Algorithm,Vmin_pu,CriticalBranch,Lmax_percent,HCM_percent,CSI_percent,Ploss_kW
S1,B&C,0.9994,S1-T10,61.1,38.9,0.0,0.625
S1,BIPSO-GR,0.9993,S1-T10,80.8,19.2,0.0,1.092
S1,Hybrid,0.9994,S1-T10,60.8,39.2,0.0,0.618
S2,B&C,0.9978,T13-S2,118.6,-18.6,18.6,3.398
S2,BIPSO-GR,0.9973,T13-S2,157.3,-57.3,57.3,5.984
S2,Hybrid,0.9979,T13-S2,116.2,-16.2,16.2,3.266
S3,B&C,0.9986,S1-T10,118.5,-18.5,18.5,2.349
S3,BIPSO-GR,0.9983,S1-T10,157.2,-57.2,57.2,4.136
S3,Hybrid,0.9987,S1-T10,116.2,-16.2,16.2,2.258
S4,B&C,0.9994,S1-T10,62.8,37.2,0.0,0.659
S4,BIPSO-GR,0.9993,S1-T10,86.3,13.7,0.0,1.247
S4,Hybrid,0.9994,S1-T10,62.4,37.6,0.0,0.651
S5,B&C,0.9994,S1-T10,65.2,34.8,0.0,0.711
S5,BIPSO-GR,0.9993,S1-T10,94.7,5.3,0.0,1.499
S5,Hybrid,0.9994,S1-T10,64.7,35.3,0.0,0.7
