Branch,FromBus,ToBus,Length_km,R_pu,X_pu,ThermalRating_MVA
S1-T10,1,2,0.11,0.0017,0.0018,10.0
T10-T4,2,3,0.244,0.0037,0.004,10.0
T4-T14,3,4,0.377,0.0058,0.0062,10.0
T14-T6,4,5,0.233,0.0036,0.0038,10.0
T6-T13,5,6,0.329,0.005,0.0054,10.0
T13-S2,6,7,0.156,0.0024,0.0026,10.0
T10-T9,2,8,0.202,0.0031,0.0034,10.0
T9-T2,8,9,0.25,0.0038,0.0041,10.0
T2-T8,9,10,0.185,0.0028,0.0031,10.0
T10-T3,2,11,0.274,0.0042,0.0045,10.0
T3-T1,11,12,0.305,0.0047,0.005,10.0
T1-T7,12,13,0.227,0.0035,0.0038,10.0
T6-T12,5,14,0.185,0.0028,0.0031,10.0
T12-T11,14,15,0.175,0.0027,0.0029,10.0
T11-T5,15,16,0.211,0.0032,0.0035,10.0
