Scenario,Algorithm,Bus,Voltage_pu,OutagedBus
S1,B&C,1,1.00000,No
S1,B&C,2,0.99988,No
S1,B&C,3,0.99981,No
S1,B&C,4,0.99956,No
S1,B&C,5,0.99958,No
S1,B&C,6,0.99983,No
S1,B&C,7,1.00000,No
S1,B&C,8,0.99983,No
S1,B&C,9,0.99979,No
S1,B&C,10,0.99978,No
S1,B&C,11,0.99972,No
S1,B&C,12,0.99963,No
S1,B&C,13,0.99958,No
S1,B&C,14,0.99950,No
S1,B&C,15,0.99944,No
S1,B&C,16,0.99938,No
S1,BIPSO-GR,1,1.00000,No
S1,BIPSO-GR,2,0.99984,No
S1,BIPSO-GR,3,0.99977,No
S1,BIPSO-GR,4,0.99949,No
S1,BIPSO-GR,5,0.99953,No
S1,BIPSO-GR,6,0.99978,No
S1,BIPSO-GR,7,1.00000,No
S1,BIPSO-GR,8,0.99974,No
S1,BIPSO-GR,9,0.99963,No
S1,BIPSO-GR,10,0.99957,No
S1,BIPSO-GR,11,0.99969,No
S1,BIPSO-GR,12,0.99960,No
S1,BIPSO-GR,13,0.99956,No
S1,BIPSO-GR,14,0.99945,No
S1,BIPSO-GR,15,0.99940,No
S1,BIPSO-GR,16,0.99934,No
S1,Hybrid,1,1.00000,No
S1,Hybrid,2,0.99988,No
S1,Hybrid,3,0.99981,No
S1,Hybrid,4,0.99959,No
S1,Hybrid,5,0.99962,No
S1,Hybrid,6,0.99984,No
S1,Hybrid,7,1.00000,No
S1,Hybrid,8,0.99983,No
S1,Hybrid,9,0.99979,No
S1,Hybrid,10,0.99978,No
S1,Hybrid,11,0.99972,No
S1,Hybrid,12,0.99963,No
S1,Hybrid,13,0.99958,No
S1,Hybrid,14,0.99954,No
S1,Hybrid,15,0.99949,No
S1,Hybrid,16,0.99943,No
S2,B&C,1,,Yes
S2,B&C,2,0.99812,No
S2,B&C,3,0.99833,No
S2,B&C,4,0.99875,No
S2,B&C,5,0.99904,No
S2,B&C,6,0.99966,No
S2,B&C,7,1.00000,No
S2,B&C,8,0.99808,No
S2,B&C,9,0.99804,No
S2,B&C,10,0.99803,No
S2,B&C,11,0.99797,No
S2,B&C,12,0.99787,No
S2,B&C,13,0.99782,No
S2,B&C,14,0.99895,No
S2,B&C,15,0.99890,No
S2,B&C,16,0.99884,No
S2,BIPSO-GR,1,,Yes
S2,BIPSO-GR,2,0.99757,No
S2,BIPSO-GR,3,0.99787,No
S2,BIPSO-GR,4,0.99843,No
S2,BIPSO-GR,5,0.99881,No
S2,BIPSO-GR,6,0.99955,No
S2,BIPSO-GR,7,1.00000,No
S2,BIPSO-GR,8,0.99748,No
S2,BIPSO-GR,9,0.99736,No
S2,BIPSO-GR,10,0.99730,No
S2,BIPSO-GR,11,0.99742,No
S2,BIPSO-GR,12,0.99733,No
S2,BIPSO-GR,13,0.99729,No
S2,BIPSO-GR,14,0.99873,No
S2,BIPSO-GR,15,0.99868,No
S2,BIPSO-GR,16,0.99862,No
S2,Hybrid,1,,Yes
S2,Hybrid,2,0.99817,No
S2,Hybrid,3,0.99837,No
S2,Hybrid,4,0.99879,No
S2,Hybrid,5,0.99907,No
S2,Hybrid,6,0.99966,No
S2,Hybrid,7,1.00000,No
S2,Hybrid,8,0.99812,No
S2,Hybrid,9,0.99808,No
S2,Hybrid,10,0.99807,No
S2,Hybrid,11,0.99801,No
S2,Hybrid,12,0.99791,No
S2,Hybrid,13,0.99787,No
S2,Hybrid,14,0.99900,No
S2,Hybrid,15,0.99895,No
S2,Hybrid,16,0.99889,No
S3,B&C,1,1.00000,No
S3,B&C,2,0.99976,No
S3,B&C,3,0.99944,No
S3,B&C,4,0.99905,No
S3,B&C,5,0.99883,No
S3,B&C,6,0.99873,No
S3,B&C,7,,Yes
S3,B&C,8,0.99972,No
S3,B&C,9,0.99968,No
S3,B&C,10,0.99967,No
S3,B&C,11,0.99961,No
S3,B&C,12,0.99951,No
S3,B&C,13,0.99946,No
S3,B&C,14,0.99874,No
S3,B&C,15,0.99868,No
S3,B&C,16,0.99863,No
S3,BIPSO-GR,1,1.00000,No
S3,BIPSO-GR,2,0.99969,No
S3,BIPSO-GR,3,0.99928,No
S3,BIPSO-GR,4,0.99875,No
S3,BIPSO-GR,5,0.99846,No
S3,BIPSO-GR,6,0.99826,No
S3,BIPSO-GR,7,,Yes
S3,BIPSO-GR,8,0.99959,No
S3,BIPSO-GR,9,0.99948,No
S3,BIPSO-GR,10,0.99941,No
S3,BIPSO-GR,11,0.99953,No
S3,BIPSO-GR,12,0.99945,No
S3,BIPSO-GR,13,0.99940,No
S3,BIPSO-GR,14,0.99839,No
S3,BIPSO-GR,15,0.99834,No
S3,BIPSO-GR,16,0.99828,No
S3,Hybrid,1,1.00000,No
S3,Hybrid,2,0.99977,No
S3,Hybrid,3,0.99945,No
S3,Hybrid,4,0.99907,No
S3,Hybrid,5,0.99886,No
S3,Hybrid,6,0.99875,No
S3,Hybrid,7,,Yes
S3,Hybrid,8,0.99972,No
S3,Hybrid,9,0.99968,No
S3,Hybrid,10,0.99967,No
S3,Hybrid,11,0.99961,No
S3,Hybrid,12,0.99952,No
S3,Hybrid,13,0.99947,No
S3,Hybrid,14,0.99879,No
S3,Hybrid,15,0.99873,No
S3,Hybrid,16,0.99868,No
